CaseID,"Opened","Closed","Updated","Status","Status Notes","Responsible Agency","Category","Request Type","Request Details","Address","Street","Supervisor District","Neighborhood","Analysis Neighborhood","Police District","Latitude","Longitude","Point","point_geom","Source","Media URL","BOS_2012","data_as_of","data_loaded_at"								
15214001,"04/13/2022 05:13:00 PM","04/18/2022 02:16:29 PM","04/18/2022 02:16:29 PM","Closed","Case Resolved","DPW Ops Queue","Graffiti","Graffiti on Sidewalk_in_front_of_property","Sidewalk_in_front_of_property - Not_Offensive","1626 CALIFORNIA ST, SAN FRANCISCO, CA, 94109","CALIFORNIA ST","3","Polk Gulch","Nob Hill","NORTHERN","37,79059528842","-122,42105587397","    (37.79059529, -122.42105587)","POINT (-122.421055874 37.790595288)","Mobile/Open311","http://mobile311.sfgov.org/reports/15214001/photos","3","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
13399168,"01/22/2021 08:21:00 AM","01/22/2021 10:39:00 AM","01/22/2021 10:39:00 AM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage","1234 SHAFTER AVE, SAN FRANCISCO, CA, 94124","SHAFTER AVE","10","Hunters Point","Bayview Hunters Point","BAYVIEW","37,72721774667","-122,38386636453","    (37.72721775, -122.38386636)","POINT (-122.383866365 37.727217747)","Mobile/Open311","http://mobile311.sfgov.org/reports/13399168/photos","10","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
13433221,"01/30/2021 02:49:00 PM","01/30/2021 04:09:56 PM","01/30/2021 04:09:56 PM","Closed","Case Resolved - See CAD# 210301902 for details.","Parking Enforcement Dispatch Queue","Parking Enforcement","Blocking_Driveway_Cite_Tow","- Honda Accord - 8KJX326","3184 MISSION ST, SAN FRANCISCO, CA, 94110","MISSION ST","9","Bernal Heights","Bernal Heights","INGLESIDE","37,74610815","-122,41977126","    (37.74610815, -122.41977126)","POINT (-122.41977126 37.74610815)","Phone",,"9","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
9656900,"10/11/2018 09:24:00 AM","10/11/2018 03:18:33 PM","10/11/2018 03:18:33 PM","Closed","Case Resolved - Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Mattress","1220 20TH AVE, SAN FRANCISCO, CA, 94122","20TH AVE","4","Outer Sunset","Sunset/Parkside","TARAVAL","37,76490402222","-122,47813415527","    (37.76490402, -122.47813416)","POINT (-122.478134155 37.764904022)","Twitter",,"4","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
9678073,"10/16/2018 08:35:09 AM","06/03/2020 06:00:56 PM","06/03/2020 06:00:56 PM","Closed","Administrative Closure - Administrative closure by Public Works","DPW Ops Queue","Graffiti","Graffiti on Building_other","Building_other - Not_Offensive","2748 MISSION ST, SAN FRANCISCO, CA, 94110","MISSION ST","9","Mission","Mission","MISSION","37,75294876099","-122,41870880127","    (37.75294876, -122.4187088)","POINT (-122.418708801 37.752948761)","Integrated Agency",,"9","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
13450002,"02/03/2021 04:57:24 PM","02/05/2021 09:17:46 AM","02/05/2021 09:17:46 AM","Closed","Case Resolved - Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","Christmas_tree","Christmas_tree","Intersection of OFARRELL ST and SCOTT ST","OFARRELL ST","5","Western Addition","Western Addition","NORTHERN","37,7826636484","-122,43762107115","    (37.78266365, -122.43762107)","POINT (-122.437621071 37.782663648)","Mobile/Open311","http://mobile311.sfgov.org/reports/13450002/photos","5","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
13442549,"02/02/2021 08:47:00 AM","02/03/2021 11:53:53 AM","02/03/2021 11:53:53 AM","Closed","Case Resolved - WASTE NOT FOUND","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Boxed or Bagged Items","45 WOODACRE DR, SAN FRANCISCO, CA, 94132","WOODACRE DR","7","Merced Manor","West of Twin Peaks","TARAVAL","37,73273807468","-122,4728661704","    (37.73273807, -122.47286617)","POINT (-122.47286617 37.732738075)","Mobile/Open311","http://mobile311.sfgov.org/reports/13442549/photos","7","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
13409091,"01/25/2021 07:32:00 AM","01/25/2021 10:44:00 AM","01/25/2021 10:44:00 AM","Closed","Case Transferred - Area was cleaned around the encampment	 referred to the Police Dept","DPW Ops Queue","Encampments","Encampment Reports","Encampment Cleanup","1127 HYDE ST, SAN FRANCISCO, CA, 94109","HYDE ST","3","Nob Hill","Nob Hill","CENTRAL","37,79133605957","-122,41764068604","    (37.79133606, -122.41764069)","POINT (-122.417640686 37.79133606)","Phone",,"3","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"							
13411058,"01/25/2021 12:19:00 PM","01/25/2021 12:38:00 PM","01/25/2021 12:38:00 PM","Closed","Case is a Duplicate","DPW Ops Queue","Street and Sidewalk Cleaning","Human or Animal Waste","Human or Animal Waste","773 GEARY ST, SAN FRANCISCO, CA, 94109","GEARY ST","6","Tenderloin","Tenderloin","CENTRAL","37,7863721","-122,4158695","    (37.7863721, -122.4158695)","POINT (-122.4158695 37.7863721)","Mobile/Open311","http://mobile311.sfgov.org/reports/13411058/photos","6","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
13465447,"02/08/2021 07:52:00 AM","02/08/2021 08:35:00 AM","02/08/2021 08:35:00 AM","Closed","Case Transferred","311 Supervisor Queue","Graffiti","Graffiti on Other_enter_additional_details_below","Other_enter_additional_details_below - Offensive","615 POINT LOBOS AVE, SAN FRANCISCO, CA, 94121","POINT LOBOS AVE","1","Sutro Heights","Outer Richmond","RICHMOND","37,7797499","-122,509839","    (37.7797499, -122.509839)","POINT (-122.509839 37.7797499)","Mobile/Open311","http://mobile311.sfgov.org/reports/13465447/photos","1","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
9643647,"10/08/2018 02:37:00 PM","10/12/2018 12:21:00 PM","10/12/2018 12:21:00 PM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","Human or Animal Waste","Human or Animal Waste","601 DOLORES ST, SAN FRANCISCO, CA, 94110","DOLORES ST","8","Mission Dolores","Mission","MISSION","37,7596282959","-122,42565155029","    (37.7596283, -122.42565155)","POINT (-122.42565155 37.759628296)","Phone",,"8","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
13433539,"01/30/2021 04:11:00 PM","02/04/2021 12:50:08 PM","02/04/2021 12:50:08 PM","Closed","Case Resolved","DPW Ops Queue","Litter Receptacles","Toters_left_out_24x7",,"4201 GEARY BLVD, SAN FRANCISCO, CA, 94118","GEARY BLVD","1","Inner Richmond","Inner Richmond","RICHMOND","37,7808333","-122,4644444","    (37.7808333, -122.4644444)","POINT (-122.4644444 37.7808333)","Web",,"1","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
9665391,"10/12/2018 06:55:00 PM","10/12/2018 07:54:32 PM","10/12/2018 07:54:32 PM","Closed","Case Resolved - Officer responded to request under CAD # 182853459. Citation was issued.","Parking Enforcement Dispatch Queue","Parking Enforcement","Blocking_Driveway_Cite_Only","Gold - Infiniti - 7PHN746","1446 8TH AVE, SAN FRANCISCO, CA, 94122","8TH AVE","7","Inner Sunset","Inner Sunset","TARAVAL","37,76133445","-122,46488914","    (37.76133445, -122.46488914)","POINT (-122.46488914 37.76133445)","Phone",,"5","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
9649882,"10/09/2018 05:42:00 PM","10/18/2018 02:30:04 PM","10/18/2018 02:30:04 PM","Closed","Case Transferred - Customer may follow up with Muni Customer Service if desired at 415.701.5649 or MuniCustomerService@SFMTA.com","MUNI Work Queue","MUNI Feedback","MUNI - Commendation","401_Employee_Commendation","Not associated with a specific address",,,,,,"0","0","    (0.0, 0.0)","POINT (0 0)","Phone",,,"2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
13383307,"01/18/2021 04:07:00 PM","01/19/2021 03:34:45 PM","01/19/2021 03:34:45 PM","Closed","Case Resolved - Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","Christmas_tree","Christmas_tree","16 FLINT ST, SAN FRANCISCO, CA, 94114","FLINT ST","8","Corona Heights","Castro/Upper Market","PARK","37,7643293","-122,4365745","    (37.7643293, -122.4365745)","POINT (-122.4365745 37.7643293)","Web",,"8","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
15218387,"04/15/2022 06:57:00 AM","04/15/2022 08:12:44 AM","04/15/2022 08:12:44 AM","Closed","Removed - Case Resolved","SoMa West CBD Queue","Illegal Postings","Illegal Postings - Posted_Over_70_Days","Posted Over 70 Days","592 NATOMA ST, SAN FRANCISCO, CA, 94103","NATOMA ST","6","South of Market","South of Market","SOUTHERN","37,7786477","-122,4098866","    (37.7786477, -122.4098866)","POINT (-122.4098866 37.7786477)","Mobile/Open311","http://mobile311.sfgov.org/reports/15218387/photos","6","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
9670605,"10/14/2018 01:44:14 PM","10/16/2018 11:02:00 AM","10/16/2018 11:02:00 AM","Closed","Case Resolved - To view the status, see http://dbiweb.sfgov.org/dbipts/default.aspx?page=AddressComplaint&ComplaintNo= 201898641","DBI Housing Inspection Queue","Residential Building Request","Building - Garbage_Receptacles","Garbage_Receptacles","1951 OAK ST, SAN FRANCISCO, CA, 94117","OAK ST","5","Haight Ashbury","Haight Ashbury","PARK","37,77121734619","-122,4514465332","    (37.77121735, -122.45144653)","POINT (-122.451446533 37.771217346)","Web",,"5","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
13424370,"01/28/2021 12:11:00 PM","01/29/2021 12:00:00 AM","01/29/2021 12:00:00 AM","Closed","Case Resolved - Send Crew to do Manual sweeping. 10/98","DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage","2706 20TH ST, SAN FRANCISCO, CA, 94110","20TH ST","9","Mission","Mission","MISSION","37,7593953","-122,4081804","    (37.7593953, -122.4081804)","POINT (-122.4081804 37.7593953)","Web","http://mobile311.sfgov.org/reports/13424370/photos","10","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
13427351,"01/29/2021 08:25:00 AM","01/29/2021 12:40:06 PM","01/29/2021 12:40:06 PM","Closed","Case Resolved - WASTE NOT FOUND","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Electronics","Intersection of LELAND AVE and SAWYER ST","LELAND AVE","10","Visitacion Valley","Visitacion Valley","INGLESIDE","37,71432262022","-122,41387959636","    (37.71432262, -122.4138796)","POINT (-122.413879596 37.71432262)","Mobile/Open311","http://mobile311.sfgov.org/reports/13427351/photos","10","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
13451857,"02/04/2021 10:23:00 AM","02/04/2021 12:28:31 PM","02/04/2021 12:28:31 PM","Closed","Case Resolved - Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Boxed or Bagged Items","Intersection of SILVER AVE and SANTA FE AVE","SILVER AVE","10","Silver Terrace","Bayview Hunters Point","BAYVIEW","37,73488616943","-122,40155792236","    (37.73488617, -122.40155792)","POINT (-122.401557922 37.734886169)","Phone",,"10","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
9655257,"10/10/2018 06:48:00 PM","10/11/2018 12:01:43 PM","10/11/2018 12:01:43 PM","Closed","Case Resolved - Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Boxed or Bagged Items","1218 WAYLAND ST, SAN FRANCISCO, CA, 94134","WAYLAND ST","9","University Mound","Portola","BAYVIEW","37,72359466553","-122,41435241699","    (37.72359467, -122.41435242)","POINT (-122.414352417 37.723594666)","Phone",,"9","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
13454325,"02/04/2021 05:49:00 PM","02/04/2021 07:58:28 PM","02/04/2021 07:58:28 PM","Closed","Case Resolved - Field Work has been completed. Memo:STATUSDATE per Mobile. DBAdd@02/04/2021 07:58:30PM","PUC Sewer Ops","Sewer Issues","Sewage_back_up","Outofsewervent4inch","1359 27TH AVE, SAN FRANCISCO, CA, 94122","27TH AVE","4","Outer Sunset","Sunset/Parkside","TARAVAL","37,76207733154","-122,48576354981","    (37.76207733, -122.48576355)","POINT (-122.48576355 37.762077332)","Phone",,"4","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
13425903,"01/28/2021 04:48:00 PM","01/28/2021 06:37:00 PM","01/28/2021 06:37:00 PM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","Human or Animal Waste","Human or Animal Waste","3 STARK ST, SAN FRANCISCO, CA, 94133","STARK ST","3","Chinatown","Chinatown","CENTRAL","37,79733276367","-122,40805053711","    (37.79733276, -122.40805054)","POINT (-122.408050537 37.797332764)","Phone",,"3","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
15215069,"04/14/2022 07:02:00 AM","04/19/2022 10:43:56 AM","04/19/2022 10:43:56 AM","Closed","Abandoned Vehicles - Gone on Arrival - GOA on 04/19/22@ 1043 by #53","DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - SUV","White - Chevrolett - Tahoe - 6ULD988","2943 FRANKLIN ST, SAN FRANCISCO, CA, 94123","FRANKLIN ST","2","Marina","Marina","NORTHERN","37,80169296265","-122,42643737793","    (37.80169296, -122.42643738)","POINT (-122.426437378 37.801692963)","Phone",,"2","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
13380231,"01/17/2021 05:39:00 PM","01/18/2021 07:36:43 AM","01/18/2021 07:36:43 AM","Closed","Case Resolved - Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Electronics","Intersection of 19TH ST and SANCHEZ ST","19TH ST","8","Dolores Heights","Castro/Upper Market","MISSION","37,75953050576","-122,43041706683","    (37.75953051, -122.43041707)","POINT (-122.430417067 37.759530506)","Mobile/Open311","http://mobile311.sfgov.org/reports/13380231/photos","8","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
13371233,"01/15/2021 08:04:50 AM","01/15/2021 10:22:40 PM","01/15/2021 10:22:40 PM","Closed","Case is a Duplicate - Request is a duplicate and has been previously reported as 13371233","DPW Ops Queue","Illegal Postings","Illegal Postings - Affixed_Improperly","Affixed Improperly","Intersection of OAK ST and STEINER ST","OAK ST","5","Lower Haight","Hayes Valley","NORTHERN","37,7737649","-122,4324952","    (37.7737649, -122.4324952)","POINT (-122.4324952 37.7737649)","Web",,"5","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
13458952,"02/05/2021 09:53:00 PM","02/08/2021 02:03:54 PM","02/08/2021 02:03:54 PM","Closed","Case Resolved","DPW Ops Queue","Illegal Postings","Illegal Postings - Affixed_Improperly","Affixed Improperly","2277 VAN NESS AVE, SAN FRANCISCO, CA, 94109","VAN NESS AVE","2","Pacific Heights","Russian Hill","NORTHERN","37,79647","-122,42365333","    (37.79647, -122.42365333)","POINT (-122.42365333 37.79647)","Mobile/Open311","http://mobile311.sfgov.org/reports/13458952/photos","2","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
9666288,"10/13/2018 08:49:00 AM","10/13/2018 10:10:17 PM","10/13/2018 10:10:17 PM","Closed","Case is a Duplicate - Request is a duplicate and has been previously reported as 9666288","DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage","1379 FOLSOM ST, SAN FRANCISCO, CA, 94103","FOLSOM ST","6","South of Market","South of Market","SOUTHERN","37,772989","-122,412578","    (37.772989, -122.412578)","POINT (-122.412578 37.772989)","Mobile/Open311","http://mobile311.sfgov.org/reports/9666288/photos","6","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
13384540,"01/19/2021 06:52:00 AM","01/19/2021 12:51:29 PM","01/19/2021 12:51:29 PM","Closed","Case Resolved - Issue addressed by staff.","RPD Park Service Area 1 Queue","Tree Maintenance","Trees - Damaged_Tree","Fallen_tree","410 FUNSTON AVE, SAN FRANCISCO, CA, 94118","FUNSTON AVE","1","Inner Richmond","Inner Richmond","RICHMOND","37,78035736084","-122,47159576416","    (37.78035736, -122.47159576)","POINT (-122.471595764 37.780357361)","Phone",,"1","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
9694572,"10/19/2018 01:14:00 PM","10/28/2018 02:47:00 PM","10/28/2018 02:47:00 PM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","Human or Animal Waste","Human or Animal Waste","34 GUERRERO ST, SAN FRANCISCO, CA, 94103","GUERRERO ST","8","Mint Hill","Mission","SOUTHERN","37,77011489868","-122,42477416992","    (37.7701149, -122.42477417)","POINT (-122.42477417 37.770114899)","Phone",,"8","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
13391435,"01/20/2021 11:13:35 AM","01/21/2021 12:59:17 PM","01/21/2021 12:59:17 PM","Closed","Case Resolved - Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Refrigerator","333 RANDOLPH ST, SAN FRANCISCO, CA, 94132","RANDOLPH ST","11","Merced Heights","Oceanview/Merced/Ingleside","TARAVAL","37,7141456604","-122,46573638916","    (37.71414566, -122.46573639)","POINT (-122.465736389 37.71414566)","Integrated Agency",,"11","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
9692803,"10/19/2018 08:47:52 AM","10/25/2018 07:17:35 AM","10/25/2018 07:17:35 AM","Closed","Encampment Removed Moved Along","HSOC Queue","Encampments","Encampment Reports","Encampment Cleanup","3995 19TH ST, SAN FRANCISCO, CA, 94114","19TH ST","8","Dolores Heights","Castro/Upper Market","MISSION","37,75939891434","-122,43241328746","    (37.75939891, -122.43241329)","POINT (-122.432413287 37.759398914)","Mobile/Open311","http://mobile311.sfgov.org/reports/9692803/photos","8","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
13421498,"01/27/2021 02:58:00 PM","12/17/2021 11:56:19 PM","12/17/2021 11:56:19 PM","Closed","Case Resolved - Maximo Work Order has been completed. Memo:","PUC Sewer Ops","Sewer Issues","Sewage_back_up","Outofsewervent4inch","390 HOLLADAY AVE, SAN FRANCISCO, CA, 94110","HOLLADAY AVE","9","Peralta Heights","Bernal Heights","INGLESIDE","37,74350738525","-122,40662384033","    (37.74350739, -122.40662384)","POINT (-122.40662384 37.743507385)","Phone",,"9","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
5218684,"10/23/2015 02:33:04 PM","10/27/2015 05:10:42 AM","10/27/2015 05:10:42 AM","Closed","Case Resolved - COMPLAINT GIVEN TO PCO PATROLLING THE BEAT. FOR SIDEWALK COMPLAINTS CONTACT (415)553-1200 PROMPT (6)","SFMTA - Parking Enforcement - G","General Request - MTA","complaint","parking_enforcement - complaint","Not associated with a specific address",,,,,,"0","0","    (0.0, 0.0)","POINT (0 0)","Web",,,"2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
13439477,"02/01/2021 12:40:00 PM","02/01/2021 02:53:05 PM","02/01/2021 02:53:05 PM","Closed","Case Resolved - Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Boxed or Bagged Items","Intersection of BRAZIL AVE and EDINBURGH ST","BRAZIL AVE","11","Excelsior","Excelsior","INGLESIDE","37,72281438202","-122,43084335974","    (37.72281438, -122.43084336)","POINT (-122.43084336 37.722814382)","Mobile/Open311","http://mobile311.sfgov.org/reports/13439477/photos","11","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
9680456,"10/16/2018 02:19:38 PM","10/17/2018 04:50:00 PM","10/17/2018 04:50:00 PM","Closed","Case Resolved - sfpd - appropriate enforcement measures have been taken. 182900549","HSOC Queue","Encampments","Encampment Reports","Encampment Cleanup","131 RUSS ST, SAN FRANCISCO, CA, 94103","RUSS ST","6","South of Market","South of Market","SOUTHERN","37,77860501322","-122,40784317606","    (37.77860501, -122.40784318)","POINT (-122.407843176 37.778605013)","Web",,"6","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
13448017,"02/03/2021 11:37:00 AM","02/04/2021 07:18:00 AM","02/04/2021 07:18:00 AM","Closed","Case Resolved - COMPLAINT GIVEN TO PCO PATROLLING THE BEAT.","SFMTA - Parking Enforcement - G","Parking Enforcement","Other_Illegal_Parking","Red - Mercedes CLA  - 7PGM314","2027 MISSION ST, SAN FRANCISCO, CA, 94110","MISSION ST","9","Mission","Mission","MISSION","37,76444423","-122,41942779","    (37.76444423, -122.41942779)","POINT (-122.41942779 37.76444423)","Phone",,"9","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
13443183,"02/02/2021 10:31:00 AM","02/02/2021 10:15:20 PM","02/02/2021 10:15:20 PM","Closed","Case is a Duplicate - Request is a duplicate and has been previously reported as 13443179","DPW Ops Queue","Litter Receptacles","Add_remove_garbage_can",,"1279 RANKIN ST, SAN FRANCISCO, CA, 94124","RANKIN ST","10","Bayview","Bayview Hunters Point","BAYVIEW","37,73912453562","-122,39757648681","    (37.73912454, -122.39757649)","POINT (-122.397576487 37.739124536)","Mobile/Open311","http://mobile311.sfgov.org/reports/13443183/photos","10","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
13446162,"02/02/2021 08:05:11 PM","02/03/2021 12:00:00 AM","02/03/2021 12:00:00 AM","Closed","Case Resolved - Duplicate Complaint. - Duplicate Complaint.","DPW BSM Queue","Graffiti","Graffiti on News_rack","News_rack - Offensive","Intersection of LEAVENWORTH ST and PACIFIC AVE","LEAVENWORTH ST","3","Nob Hill","Nob Hill","CENTRAL","37,79565284","-122,41662461","    (37.79565284, -122.41662461)","POINT (-122.41662461 37.79565284)","Mobile/Open311","http://mobile311.sfgov.org/reports/13446162/photos","3","2024/02/20 10:35:55 AM","2024/09/11 05:09:50 PM"								
